x_center,y_center,width,height,angle
831.53723,1516.0099,234.66858,154.54822,0.10462786
738.2083,2801.0764,261.76752,181.85721,-0.14978783
850.17596,1197.3652,267.71472,134.46278,0.05563518
806.86145,3899.8936,371.2536,255.79462,0.001316071
808.17975,4252.3516,405.8043,261.1531,-0.02959059
792.8288,1801.3181,228.52116,147.51747,0.13029546
797.2045,3429.8152,330.95288,239.11232,0.009384507
809.3937,3655.5017,335.54538,252.71936,0.006855207
712.94275,2443.7478,259.57437,157.71277,0.04352794
770.99963,2995.8865,301.27863,199.0569,-0.08672639
735.8516,2106.7751,246.22646,147.91002,0.16564889
854.1169,984.48016,327.32425,122.13054,0.05882847
878.867,879.2811,338.76572,115.209724,0.0023883963
820.06244,1336.114,259.63895,137.16478,0.12690863
796.60486,3171.6406,319.00473,210.69183,-0.06098616
