x_center,y_center,width,height,angle
111.070564,195.89323,30.894321,24.842554,0.064485095
97.61076,270.37875,32.431477,27.728783,0.22072084
102.77582,87.09041,26.32763,19.7735,-0.40814558
109.54881,109.187485,28.268368,21.57442,-0.23884235
65.67383,394.57922,35.50285,32.457493,0.08413203
72.687485,358.30862,35.505554,32.534607,0.2524331
90.569984,296.6813,31.811556,27.837927,0.29190007
113.43783,151.55133,29.226685,22.931616,-0.066070735
108.57344,219.9389,31.2584,24.046642,0.036873892
82.91473,328.11502,35.13591,29.82702,0.17025149
103.91243,242.48376,32.136345,26.280495,0.13295119
69.05296,428.71143,32.9296,29.37319,-0.13200007
93.2357,68.368095,22.808182,18.511469,-0.4467235
77.70616,34.011135,20.499603,19.058435,-0.49164492
84.79375,51.72434,22.869553,20.37928,-0.44183996
67.60377,17.018274,17.344736,18.663885,-0.36079752
113.81887,174.59311,30.179893,22.253086,0.018106692
